NAME,total_population,same_house_1yr_ago,moved_same_county,moved_different_county_same_state,moved_different_state,moved_from_abroad,state,year,moved_total,migration_rate,moved_from_different_state_rate,moved_from_abroad_rate
Mississippi,2953205.0,162857.0,538440.0,89607.0,221936.0,194050.0,28,2015,2790348.0,94.49,7.52,6.57
Missouri,5974874.0,306198.0,1023907.0,163295.0,429174.0,400645.0,29,2015,5668676.0,94.88,7.18,6.71
Montana,1003339.0,49337.0,163693.0,27277.0,72584.0,63105.0,30,2015,954002.0,95.08,7.23,6.29
Nebraska,1843508.0,104179.0,334921.0,53933.0,135075.0,125305.0,31,2015,1739329.0,94.35,7.33,6.8
Nevada,2766027.0,146199.0,482772.0,65139.0,187680.0,201339.0,32,2015,2619828.0,94.71,6.79,7.28
New Hampshire,1312127.0,53518.0,206088.0,39917.0,87459.0,77043.0,33,2015,1258609.0,95.92,6.67,5.87
New Jersey,8806019.0,435250.0,1489669.0,225110.0,564495.0,566473.0,34,2015,8370769.0,95.06,6.41,6.43
New Mexico,2058087.0,111959.0,368701.0,58691.0,150914.0,140875.0,35,2015,1946128.0,94.56,7.33,6.84
New York,19451274.0,954532.0,3075342.0,548421.0,1437184.0,1450354.0,36,2015,18496742.0,95.09,7.39,7.46
North Carolina,9732283.0,498120.0,1672665.0,274645.0,704552.0,642302.0,37,2015,9234163.0,94.88,7.24,6.6
North Dakota,712015.0,39239.0,114148.0,22608.0,67990.0,54145.0,38,2015,672776.0,94.49,9.55,7.6
Ohio,11446837.0,566856.0,1960023.0,317523.0,784927.0,737121.0,39,2015,10879981.0,95.05,6.86,6.44
Oklahoma,3800225.0,216212.0,682188.0,105640.0,283793.0,266183.0,40,2015,3584013.0,94.31,7.47,7.0
Oregon,3896912.0,189081.0,628949.0,98717.0,265193.0,265780.0,41,2015,3707831.0,95.15,6.81,6.82
Pennsylvania,12643406.0,581508.0,2004573.0,369687.0,873526.0,830440.0,42,2015,12061898.0,95.4,6.91,6.57
Rhode Island,1043118.0,44687.0,159789.0,36234.0,81767.0,70668.0,44,2015,998431.0,95.72,7.84,6.77
South Carolina,4723298.0,238303.0,789252.0,135392.0,350344.0,313255.0,45,2015,4484995.0,94.95,7.42,6.63
South Dakota,831888.0,48690.0,147674.0,23961.0,60524.0,55888.0,46,2015,783198.0,94.15,7.28,6.72
Tennessee,6422999.0,324188.0,1092082.0,168299.0,458394.0,425562.0,47,2015,6098811.0,94.95,7.14,6.63
Texas,26177529.0,1590220.0,5107705.0,759748.0,1954713.0,1931237.0,48,2015,24587309.0,93.93,7.47,7.38
Vermont,621145.0,24936.0,92876.0,21551.0,45125.0,35553.0,50,2015,596209.0,95.99,7.26,5.72
Utah,2854913.0,206778.0,642274.0,87039.0,244624.0,215701.0,49,2015,2648135.0,92.76,8.57,7.56
Virginia,8155620.0,411268.0,1352390.0,233960.0,591629.0,583734.0,51,2015,7744352.0,94.96,7.25,7.16
Washington,6902686.0,363025.0,1150773.0,175502.0,491948.0,505370.0,53,2015,6539661.0,94.74,7.13,7.32
West Virginia,1833242.0,84581.0,279614.0,47046.0,123883.0,106819.0,54,2015,1748661.0,95.39,6.76,5.83
