NAME,B03001_005E,state,year
Mississippi,9568,28,2016
Missouri,14375,29,2016
Montana,2612,30,2016
Nebraska,4414,31,2016
Nevada,26271,32,2016
New Hampshire,12857,33,2016
New Jersey,470954,34,2016
New Mexico,8254,35,2016
New York,1104443,36,2016
North Carolina,90061,37,2016
North Dakota,1565,38,2016
Ohio,114036,39,2016
Oklahoma,13385,40,2016
Oregon,11859,41,2016
Pennsylvania,431155,42,2016
Rhode Island,37601,44,2016
South Carolina,33767,45,2016
South Dakota,1917,46,2016
Tennessee,27979,47,2016
Texas,174369,48,2016
Vermont,2807,50,2016
Utah,8678,49,2016
Virginia,95249,51,2016
Washington,31425,53,2016
West Virginia,5059,54,2016
Wisconsin,54613,55,2016
Wyoming,1086,56,2016
Puerto Rico,3381643,72,2016
Alabama,16391,01,2016
Alaska,7061,02,2016
Arizona,41598,04,2016
Arkansas,5973,05,2016
California,210940,06,2016
Colorado,30074,08,2016
Delaware,25812,10,2016
District of Columbia,4942,11,2016
Connecticut,283278,09,2016
Florida,1014340,12,2016
Georgia,90858,13,2016
Idaho,3350,16,2016
Hawaii,48697,15,2016
Illinois,202096,17,2016
Indiana,36269,18,2016
Iowa,6347,19,2016
Kansas,11005,20,2016
Kentucky,15175,21,2016
Louisiana,14013,22,2016
Maine,5529,23,2016
Maryland,48870,24,2016
Massachusetts,304770,25,2016
Michigan,44219,26,2016
Minnesota,13042,27,2016
