NAME,B03001_005E,state,year
Mississippi,8745,28,2015
Missouri,15117,29,2015
Montana,2233,30,2015
Nebraska,4243,31,2015
Nevada,24374,32,2015
New Hampshire,12729,33,2015
New Jersey,471035,34,2015
New Mexico,8059,35,2015
New York,1111700,36,2015
North Carolina,87863,37,2015
North Dakota,1412,38,2015
Ohio,110348,39,2015
Oklahoma,13806,40,2015
Oregon,11137,41,2015
Pennsylvania,422154,42,2015
Rhode Island,37189,44,2015
South Carolina,34739,45,2015
South Dakota,1730,46,2015
Tennessee,26105,47,2015
Texas,163417,48,2015
Vermont,2963,50,2015
Utah,7594,49,2015
Virginia,91027,51,2015
Washington,30950,53,2015
West Virginia,4481,54,2015
Wisconsin,52658,55,2015
Wyoming,1304,56,2015
Puerto Rico,3433356,72,2015
Alabama,14524,01,2015
Alaska,6772,02,2015
Arizona,38540,04,2015
Arkansas,5594,05,2015
California,209771,06,2015
Colorado,28546,08,2015
Delaware,25868,10,2015
District of Columbia,4528,11,2015
Connecticut,278670,09,2015
Florida,977995,12,2015
Georgia,86792,13,2015
Idaho,3614,16,2015
Hawaii,47911,15,2015
Illinois,198272,17,2015
Indiana,35528,18,2015
Iowa,5879,19,2015
Kansas,10502,20,2015
Kentucky,14238,21,2015
Louisiana,13961,22,2015
Maine,5708,23,2015
Maryland,48295,24,2015
Massachusetts,297089,25,2015
Michigan,43770,26,2015
Minnesota,13075,27,2015
