NAME,B03001_005E,state,year
Alabama,12386,01,2012
Alaska,4920,02,2012
Arizona,32463,04,2012
Arkansas,5241,05,2012
California,189764,06,2012
Colorado,24194,08,2012
Delaware,22795,10,2012
District of Columbia,3355,11,2012
Connecticut,262095,09,2012
Florida,859957,12,2012
Georgia,77336,13,2012
Idaho,3788,16,2012
Hawaii,41732,15,2012
Illinois,184205,17,2012
Indiana,30295,18,2012
Iowa,5361,19,2012
Kansas,9002,20,2012
Kentucky,11913,21,2012
Louisiana,11696,22,2012
Maine,4997,23,2012
Maryland,41841,24,2012
Massachusetts,266124,25,2012
Michigan,38705,26,2012
Minnesota,12019,27,2012
Mississippi,7178,28,2012
Missouri,12653,29,2012
Montana,1156,30,2012
Nebraska,3189,31,2012
Nevada,20475,32,2012
New Hampshire,11386,33,2012
New Jersey,445728,34,2012
New Mexico,6903,35,2012
New York,1117995,36,2012
North Carolina,71807,37,2012
North Dakota,971,38,2012
Ohio,95332,39,2012
Oklahoma,11393,40,2012
Oregon,9400,41,2012
Pennsylvania,381646,42,2012
Rhode Island,33433,44,2012
South Carolina,28640,45,2012
South Dakota,1501,46,2012
Tennessee,21562,47,2012
Texas,136287,48,2012
Vermont,2507,50,2012
Utah,6428,49,2012
Virginia,77400,51,2012
Washington,26834,53,2012
West Virginia,3683,54,2012
Wisconsin,46766,55,2012
Wyoming,770,56,2012
Puerto Rico,3554086,72,2012
