NAME,B03001_005E,state,year
Mississippi,9136,28,2017
Missouri,15166,29,2017
Montana,2387,30,2017
Nebraska,4980,31,2017
Nevada,27113,32,2017
New Hampshire,13675,33,2017
New Jersey,479873,34,2017
New Mexico,8941,35,2017
Alabama,17833,01,2017
Alaska,7332,02,2017
Arizona,43693,04,2017
Arkansas,6235,05,2017
California,215163,06,2017
New York,1112962,36,2017
North Carolina,96570,37,2017
North Dakota,1803,38,2017
Ohio,118305,39,2017
Oklahoma,13612,40,2017
Oregon,13143,41,2017
Pennsylvania,438964,42,2017
Rhode Island,38860,44,2017
South Carolina,36022,45,2017
South Dakota,1892,46,2017
Tennessee,28832,47,2017
Texas,182364,48,2017
Vermont,2591,50,2017
Utah,9952,49,2017
Virginia,96604,51,2017
Washington,33391,53,2017
West Virginia,5747,54,2017
Wisconsin,56344,55,2017
Wyoming,1166,56,2017
Puerto Rico,3324030,72,2017
Delaware,26524,10,2017
District of Columbia,4861,11,2017
Connecticut,286751,09,2017
Florida,1065351,12,2017
Georgia,93138,13,2017
Idaho,3770,16,2017
Hawaii,47572,15,2017
Illinois,201841,17,2017
Indiana,39013,18,2017
Iowa,6739,19,2017
Kansas,11572,20,2017
Kentucky,16306,21,2017
Louisiana,14932,22,2017
Maine,5405,23,2017
Maryland,50964,24,2017
Massachusetts,313855,25,2017
Michigan,44898,26,2017
Minnesota,13845,27,2017
Colorado,30533,08,2017
