NAME,B03001_005E,state,year
Pennsylvania,468114,42,2020
California,227838,06,2020
West Virginia,6122,54,2020
Utah,12716,49,2020
New York,1078084,36,2020
District of Columbia,5397,11,2020
Alaska,7507,02,2020
Florida,1155423,12,2020
South Carolina,37458,45,2020
North Dakota,3507,38,2020
Maine,6297,23,2020
Georgia,107661,13,2020
Alabama,23613,01,2020
New Hampshire,16894,33,2020
Oregon,14501,41,2020
Wyoming,1302,56,2020
Arizona,51533,04,2020
Louisiana,15130,22,2020
Indiana,43210,18,2020
Idaho,5145,16,2020
Connecticut,293090,09,2020
Hawaii,51188,15,2020
Illinois,203537,17,2020
Massachusetts,325186,25,2020
Texas,217113,48,2020
Montana,2241,30,2020
Nebraska,5967,31,2020
Ohio,131458,39,2020
Colorado,36520,08,2020
New Jersey,465653,34,2020
Maryland,59738,24,2020
Virginia,106085,51,2020
Vermont,2458,50,2020
North Carolina,112634,37,2020
Arkansas,7703,05,2020
Washington,38204,53,2020
Kansas,12694,20,2020
Oklahoma,14836,40,2020
Wisconsin,61167,55,2020
Mississippi,9927,28,2020
Missouri,18141,29,2020
Michigan,48389,26,2020
Rhode Island,44611,44,2020
Minnesota,15891,27,2020
Iowa,8704,19,2020
New Mexico,9934,35,2020
Nevada,28384,32,2020
Delaware,26908,10,2020
Puerto Rico,3112760,72,2020
Kentucky,16993,21,2020
South Dakota,2797,46,2020
Tennessee,33547,47,2020
