NAME,B03001_005E,state,year
Alabama,23379,01,2022
Alaska,8133,02,2022
Arizona,53299,04,2022
Arkansas,8465,05,2022
California,229063,06,2022
Colorado,40355,08,2022
Connecticut,299206,09,2022
Delaware,28559,10,2022
District of Columbia,6020,11,2022
Florida,1204504,12,2022
Georgia,116691,13,2022
Hawaii,53894,15,2022
Idaho,6536,16,2022
Illinois,208914,17,2022
Indiana,48118,18,2022
Iowa,9151,19,2022
Kansas,15704,20,2022
Kentucky,17895,21,2022
Louisiana,14194,22,2022
Maine,6301,23,2022
Maryland,62339,24,2022
Massachusetts,326405,25,2022
Michigan,50912,26,2022
Minnesota,16689,27,2022
Mississippi,9783,28,2022
Missouri,20820,29,2022
Montana,2078,30,2022
Nebraska,6770,31,2022
Nevada,29693,32,2022
New Hampshire,19763,33,2022
New Jersey,479304,34,2022
New Mexico,10796,35,2022
New York,1068303,36,2022
North Carolina,120765,37,2022
North Dakota,4439,38,2022
Ohio,141067,39,2022
Oklahoma,17972,40,2022
Oregon,14740,41,2022
Pennsylvania,486115,42,2022
Rhode Island,47954,44,2022
South Carolina,42989,45,2022
South Dakota,3791,46,2022
Tennessee,35627,47,2022
Texas,244719,48,2022
Utah,12349,49,2022
Vermont,2488,50,2022
Virginia,110906,51,2022
Washington,41469,53,2022
West Virginia,5899,54,2022
Wisconsin,65528,55,2022
Wyoming,1549,56,2022
Puerto Rico,3123942,72,2022
