NAME,B03001_005E,state,year
Mississippi,9639,28,2018
Missouri,15855,29,2018
Montana,2435,30,2018
Nebraska,5570,31,2018
Nevada,27871,32,2018
New Hampshire,15850,33,2018
New Jersey,475882,34,2018
New Mexico,9226,35,2018
New York,1092883,36,2018
North Carolina,100881,37,2018
North Dakota,2661,38,2018
Ohio,124145,39,2018
Oklahoma,14028,40,2018
Oregon,13797,41,2018
Pennsylvania,452100,42,2018
Rhode Island,42033,44,2018
South Carolina,37776,45,2018
South Dakota,2439,46,2018
Tennessee,32054,47,2018
Texas,194939,48,2018
Vermont,2648,50,2018
Utah,10898,49,2018
Virginia,99948,51,2018
Washington,34962,53,2018
West Virginia,6288,54,2018
Wisconsin,57475,55,2018
Wyoming,1260,56,2018
Puerto Rico,3246054,72,2018
Alabama,20635,01,2018
Alaska,7312,02,2018
Arizona,46981,04,2018
Arkansas,7105,05,2018
California,215961,06,2018
Colorado,33135,08,2018
Delaware,26066,10,2018
District of Columbia,5331,11,2018
Connecticut,292143,09,2018
Florida,1102564,12,2018
Georgia,96870,13,2018
Idaho,4695,16,2018
Hawaii,46237,15,2018
Illinois,205857,17,2018
Indiana,38555,18,2018
Iowa,6728,19,2018
Kansas,12212,20,2018
Kentucky,16794,21,2018
Louisiana,15100,22,2018
Maine,5736,23,2018
Maryland,53905,24,2018
Massachusetts,322256,25,2018
Michigan,45369,26,2018
Minnesota,14515,27,2018
