NAME,median_gross_rent,median_home_value,state,year
Alabama,925,179400,01,2022
Alaska,1345,318000,02,2022
Arizona,1308,321400,04,2022
Arkansas,868,162400,05,2022
California,1856,659300,06,2022
Colorado,1594,465900,08,2022
Connecticut,1374,323700,09,2022
Delaware,1286,305200,10,2022
District of Columbia,1817,705000,11,2022
Florida,1444,292200,12,2022
Georgia,1221,245900,13,2022
Hawaii,1868,764800,15,2022
Idaho,1061,331600,16,2022
Illinois,1179,239100,17,2022
Indiana,967,183600,18,2022
Iowa,914,181600,19,2022
Kansas,986,189300,20,2022
Kentucky,902,177000,21,2022
Louisiana,996,198300,22,2022
Maine,1009,244800,23,2022
Maryland,1598,380500,24,2022
Massachusetts,1588,483900,25,2022
Michigan,1037,201100,26,2022
Minnesota,1178,286800,27,2022
Mississippi,896,151000,28,2022
Missouri,957,199400,29,2022
Montana,974,305700,30,2022
Nebraska,987,205600,31,2022
Nevada,1382,373800,32,2022
New Hampshire,1336,337100,33,2022
New Jersey,1577,401400,34,2022
New Mexico,966,216000,35,2022
New York,1507,384100,36,2022
North Carolina,1093,234900,37,2022
North Dakota,912,232500,38,2022
Ohio,945,183300,39,2022
Oklahoma,934,170500,40,2022
Oregon,1373,423100,41,2022
Pennsylvania,1110,226200,42,2022
Rhode Island,1195,343100,44,2022
South Carolina,1065,216200,45,2022
South Dakota,878,219500,46,2022
Tennessee,1047,232100,47,2022
Texas,1251,238000,48,2022
Utah,1302,408500,49,2022
Vermont,1149,272400,50,2022
Virginia,1440,339800,51,2022
Washington,1592,473400,53,2022
West Virginia,831,145800,54,2022
Wisconsin,992,231400,55,2022
Wyoming,933,269900,56,2022
Puerto Rico,545,121800,72,2022
