NAME,median_gross_rent,median_home_value,state,year
Mississippi,762,114500,28,2018
Missouri,809,151600,29,2018
Montana,783,219600,30,2018
Nebraska,805,147800,31,2018
Nevada,1060,242400,32,2018
New Hampshire,1077,252800,33,2018
New Jersey,1295,327900,34,2018
New Mexico,828,166800,35,2018
New York,1240,302200,36,2018
North Carolina,877,165900,37,2018
North Dakota,806,185000,38,2018
Ohio,788,140000,39,2018
Oklahoma,793,130900,40,2018
Oregon,1050,287300,41,2018
Pennsylvania,915,174100,42,2018
Rhode Island,981,249800,44,2018
South Carolina,868,154800,45,2018
South Dakota,722,159100,46,2018
Tennessee,841,158600,47,2018
Texas,998,161700,48,2018
Vermont,972,223700,50,2018
Utah,988,256700,49,2018
Virginia,1202,264900,51,2018
Washington,1194,311700,53,2018
West Virginia,711,115000,54,2018
Wisconsin,837,173600,55,2018
Wyoming,843,213300,56,2018
Puerto Rico,474,113500,72,2018
Alabama,772,137200,01,2018
Alaska,1231,265200,02,2018
Arizona,1009,209600,04,2018
Arkansas,729,123300,05,2018
California,1429,475900,06,2018
Colorado,1196,313600,08,2018
Delaware,1110,244700,10,2018
District of Columbia,1487,568400,11,2018
Connecticut,1156,272700,09,2018
Florida,1128,196800,12,2018
Georgia,968,166800,13,2018
Idaho,825,192300,16,2018
Hawaii,1566,587700,15,2018
Illinois,984,187200,17,2018
Indiana,807,135400,18,2018
Iowa,766,142300,19,2018
Kansas,831,145400,20,2018
Kentucky,741,135300,21,2018
Louisiana,850,157800,22,2018
Maine,831,184500,23,2018
Maryland,1357,305500,24,2018
Massachusetts,1225,366800,25,2018
Michigan,850,146200,26,2018
Minnesota,944,211800,27,2018
