NAME,median_gross_rent,median_home_value,state,year
Alabama,715,123800,01,2014
Alaska,1131,246300,02,2014
Arizona,905,162900,04,2014
Arkansas,675,108700,05,2014
California,1243,371400,06,2014
Colorado,969,239400,08,2014
Delaware,1012,232900,10,2014
District of Columbia,1302,454500,11,2014
Connecticut,1069,274500,09,2014
Florida,998,156200,12,2014
Georgia,874,148000,13,2014
Idaho,738,160500,16,2014
Hawaii,1417,504500,15,2014
Illinois,903,175700,17,2014
Indiana,741,122700,18,2014
Iowa,689,126300,19,2014
Kansas,748,129400,20,2014
Kentucky,667,121600,21,2014
Louisiana,786,140400,22,2014
Maine,772,173600,23,2014
Maryland,1218,287500,24,2014
Massachusetts,1088,329900,25,2014
Michigan,780,120200,26,2014
Minnesota,835,185200,27,2014
Mississippi,714,100800,28,2014
Missouri,740,136700,29,2014
Montana,696,187600,30,2014
Nebraska,721,130100,31,2014
Nevada,980,167100,32,2014
New Hampshire,1001,237400,33,2014
New Jersey,1188,319900,34,2014
New Mexico,774,159300,35,2014
New York,1117,283700,36,2014
North Carolina,790,153600,37,2014
North Dakota,676,142000,38,2014
Ohio,729,129600,39,2014
Oklahoma,717,115000,40,2014
Oregon,894,234100,41,2014
Pennsylvania,832,164900,42,2014
Rhode Island,923,241200,44,2014
South Carolina,784,137600,45,2014
South Dakota,648,135700,46,2014
Tennessee,757,139900,47,2014
Texas,870,131400,48,2014
Vermont,889,216200,50,2014
Utah,875,212500,49,2014
Virginia,1108,243500,51,2014
Washington,995,257200,53,2014
West Virginia,630,100200,54,2014
Wisconsin,772,165900,55,2014
Wyoming,778,189300,56,2014
Puerto Rico,462,121700,72,2014
