NAME,median_gross_rent,median_home_value,state,year
Mississippi,680,99200,28,2011
Missouri,693,138900,29,2011
Montana,649,179900,30,2011
Nebraska,672,125400,31,2011
Nevada,1011,225400,32,2011
New Hampshire,956,250000,33,2011
New Jersey,1131,349100,34,2011
New Mexico,713,161800,35,2011
New York,1025,301000,36,2011
North Carolina,744,152700,37,2011
North Dakota,584,118200,38,2011
Ohio,697,135600,39,2011
Oklahoma,659,108400,40,2011
Oregon,830,252600,41,2011
Pennsylvania,770,163200,42,2011
Rhode Island,901,270600,44,2011
South Carolina,728,137000,45,2011
South Dakota,595,127000,46,2011
Tennessee,707,137200,47,2011
Texas,814,126400,48,2011
Vermont,843,213000,50,2011
Utah,813,221300,49,2011
Virginia,1024,254600,51,2011
Washington,923,283200,53,2011
West Virginia,574,96500,54,2011
Wisconsin,735,169700,55,2011
Wyoming,708,181900,56,2011
Puerto Rico,438,117300,72,2011
Alabama,674,120800,01,2011
Alaska,1017,235100,02,2011
Arizona,881,197400,04,2011
Arkansas,637,105100,05,2011
California,1185,421600,06,2011
Colorado,883,236700,08,2011
Delaware,975,244100,10,2011
District of Columbia,1135,442600,11,2011
Connecticut,1020,293100,09,2011
Florida,981,188600,12,2011
Georgia,835,160200,13,2011
Idaho,709,171300,16,2011
Hawaii,1313,529500,15,2011
Illinois,860,198500,17,2011
Indiana,704,123300,18,2011
Iowa,637,121300,19,2011
Kansas,699,125500,20,2011
Kentucky,623,118700,21,2011
Louisiana,745,135400,22,2011
Maine,736,176600,23,2011
Maryland,1139,319800,24,2011
Massachusetts,1037,343500,25,2011
Michigan,742,137300,26,2011
Minnesota,783,201400,27,2011
