NAME,median_gross_rent,median_home_value,state,year
Alabama,792,142700,01,2019
Alaska,1244,270400,02,2019
Arizona,1052,225500,04,2019
Arkansas,745,127800,05,2019
California,1503,505000,06,2019
Colorado,1271,343300,08,2019
Delaware,1130,251100,10,2019
District of Columbia,1541,601500,11,2019
Connecticut,1180,275400,09,2019
Florida,1175,215300,12,2019
Georgia,1006,176000,13,2019
Idaho,853,212300,16,2019
Hawaii,1617,615300,15,2019
Illinois,1010,194500,17,2019
Indiana,826,141700,18,2019
Iowa,789,147800,19,2019
Kansas,850,151900,20,2019
Kentucky,763,141000,21,2019
Louisiana,866,163100,22,2019
Maine,853,190400,23,2019
Maryland,1392,314800,24,2019
Massachusetts,1282,381600,25,2019
Michigan,871,154900,26,2019
Minnesota,977,223900,27,2019
Mississippi,780,119000,28,2019
Missouri,830,157200,29,2019
Montana,810,230600,30,2019
Nebraska,833,155800,31,2019
Nevada,1107,267900,32,2019
New Hampshire,1111,261700,33,2019
New Jersey,1334,335600,34,2019
New Mexico,844,171400,35,2019
New York,1280,313700,36,2019
North Carolina,907,172500,37,2019
North Dakota,826,193900,38,2019
Ohio,808,145700,39,2019
Oklahoma,810,136800,40,2019
Oregon,1110,312200,41,2019
Pennsylvania,938,180200,42,2019
Rhode Island,1004,261900,44,2019
South Carolina,894,162300,45,2019
South Dakota,747,167100,46,2019
Tennessee,869,167200,47,2019
Texas,1045,172500,48,2019
Vermont,985,227700,50,2019
Utah,1037,279100,49,2019
Virginia,1234,273100,51,2019
Washington,1258,339000,53,2019
West Virginia,725,119600,54,2019
Wisconsin,856,180600,55,2019
Wyoming,855,220500,56,2019
Puerto Rico,478,111500,72,2019
