NAME,median_gross_rent,median_home_value,state,year
Mississippi,717,103100,28,2015
Missouri,746,138400,29,2015
Montana,711,193500,30,2015
Nebraska,726,133200,31,2015
Nevada,973,173700,32,2015
New Hampshire,1000,237300,33,2015
New Jersey,1192,315900,34,2015
New Mexico,777,160300,35,2015
New York,1132,283400,36,2015
North Carolina,797,154900,37,2015
North Dakota,709,153800,38,2015
Ohio,730,129900,39,2015
Oklahoma,727,117900,40,2015
Oregon,907,237300,41,2015
Pennsylvania,840,166000,42,2015
Rhode Island,925,238000,44,2015
South Carolina,790,139900,45,2015
South Dakota,655,140500,46,2015
Tennessee,764,142100,47,2015
Texas,882,136000,48,2015
Vermont,895,217500,50,2015
Utah,887,215900,49,2015
Virginia,1116,245000,51,2015
Washington,1014,259500,53,2015
West Virginia,643,103800,54,2015
Wisconsin,776,165800,55,2015
Wyoming,789,194800,56,2015
Puerto Rico,456,120500,72,2015
Alabama,717,125500,01,2015
Alaska,1146,250000,02,2015
Arizona,913,167500,04,2015
Arkansas,677,111400,05,2015
California,1255,385500,06,2015
Colorado,1002,247800,08,2015
Delaware,1018,231500,10,2015
District of Columbia,1327,475800,11,2015
Connecticut,1075,270500,09,2015
Florida,1002,159000,12,2015
Georgia,879,148100,13,2015
Idaho,743,162900,16,2015
Hawaii,1438,515300,15,2015
Illinois,907,173800,17,2015
Indiana,745,124200,18,2015
Iowa,697,129200,19,2015
Kansas,757,132000,20,2015
Kentucky,675,123200,21,2015
Louisiana,788,144100,22,2015
Maine,777,173800,23,2015
Maryland,1230,286900,24,2015
Massachusetts,1102,333100,25,2015
Michigan,783,122400,26,2015
Minnesota,848,186200,27,2015
