NAME,median_gross_rent,median_home_value,state,year
Alabama,691,122300,01,2012
Alaska,1065,237900,02,2012
Arizona,891,175900,04,2012
Arkansas,649,106300,05,2012
California,1209,383900,06,2012
Colorado,915,236800,08,2012
Delaware,985,241100,10,2012
District of Columbia,1200,443000,11,2012
Connecticut,1044,285900,09,2012
Florida,987,170800,12,2012
Georgia,849,156400,13,2012
Idaho,720,167100,16,2012
Hawaii,1354,517000,15,2012
Illinois,877,190800,17,2012
Indiana,719,123400,18,2012
Iowa,655,123000,19,2012
Kansas,715,127400,20,2012
Kentucky,638,120000,21,2012
Louisiana,762,137700,22,2012
Maine,750,175600,23,2012
Maryland,1172,304900,24,2012
Massachusetts,1056,335500,25,2012
Michigan,755,128600,26,2012
Minnesota,802,194300,27,2012
Mississippi,688,100200,28,2012
Missouri,712,138400,29,2012
Montana,667,183000,30,2012
Nebraska,687,126700,31,2012
Nevada,1001,190900,32,2012
New Hampshire,972,245600,33,2012
New Jersey,1154,337900,34,2012
New Mexico,736,161500,35,2012
New York,1061,295300,36,2012
North Carolina,759,153600,37,2012
North Dakota,610,123900,38,2012
Ohio,710,133700,39,2012
Oklahoma,679,110800,40,2012
Oregon,854,246100,41,2012
Pennsylvania,794,164900,42,2012
Rhode Island,908,259400,44,2012
South Carolina,749,137400,45,2012
South Dakota,617,129800,46,2012
Tennessee,726,138700,47,2012
Texas,834,128000,48,2012
Vermont,864,215800,50,2012
Utah,839,217800,49,2012
Virginia,1060,249700,51,2012
Washington,951,272900,53,2012
West Virginia,594,97300,54,2012
Wisconsin,749,169000,55,2012
Wyoming,733,184400,56,2012
Puerto Rico,449,121500,72,2012
