NAME,total_population,below_poverty_level,state,year,poverty_rate
Mississippi,79641,24294,28,2016,30.5
Missouri,230255,61543,29,2016,26.73
Montana,33583,7558,30,2016,22.51
Nebraska,187018,45913,31,2016,24.55
Nevada,780665,164476,32,2016,21.07
New Hampshire,41482,7943,33,2016,19.15
New Jersey,1693172,341367,34,2016,20.16
New Mexico,975215,248241,35,2016,25.46
New York,3582326,910625,36,2016,25.42
North Carolina,867229,273081,37,2016,31.49
North Dakota,21730,4420,38,2016,20.34
Ohio,388998,105251,39,2016,27.06
Oklahoma,370889,97168,40,2016,26.2
Oregon,484055,126554,41,2016,26.14
Pennsylvania,810165,255243,42,2016,31.51
Rhode Island,144780,44864,44,2016,30.99
South Carolina,248459,72146,45,2016,29.04
South Dakota,27792,7422,46,2016,26.71
Tennessee,321045,102693,47,2016,31.99
Texas,10218274,2468927,48,2016,24.16
Vermont,9697,1499,50,2016,15.46
Utah,390955,87889,49,2016,22.48
Virginia,705132,108944,51,2016,15.45
Washington,837872,192138,53,2016,22.93
West Virginia,23864,5582,54,2016,23.39
Wisconsin,361812,95154,55,2016,26.3
Wyoming,54976,11564,56,2016,21.03
Puerto Rico,3460493,1563520,72,2016,45.18
Alabama,189193,61682,01,2016,32.6
Alaska,46904,5730,02,2016,12.22
Arizona,2001970,538633,04,2016,26.91
Arkansas,203092,62517,05,2016,30.78
California,14646915,3208680,06,2016,21.91
Colorado,1105420,231786,08,2016,20.97
Delaware,80923,21019,10,2016,25.97
District of Columbia,66782,10858,11,2016,16.26
Connecticut,523171,128125,09,2016,24.49
Florida,4736746,989551,12,2016,20.89
Georgia,903871,259253,13,2016,28.68
Idaho,190938,47497,16,2016,24.88
Hawaii,136753,20704,15,2016,15.14
Illinois,2101481,411749,17,2016,19.59
Indiana,418980,113714,18,2016,27.14
Iowa,167387,39931,19,2016,23.86
Kansas,319898,76261,20,2016,23.84
Kentucky,141274,43738,21,2016,30.96
Louisiana,215937,49071,22,2016,22.72
Maine,18649,4147,23,2016,22.24
Maryland,540285,75664,24,2016,14.0
Massachusetts,705799,201453,25,2016,28.54
Michigan,462877,119636,26,2016,25.85
Minnesota,268765,59699,27,2016,22.21
