NAME,total_population,below_poverty_level,state,year,poverty_rate
Alabama,203804,60908,01,2019,29.89
Alaska,50027,5405,02,2019,10.8
Arizona,2156773,465270,04,2019,21.57
Arkansas,220161,56288,05,2019,25.57
California,15060744,2660658,06,2019,17.67
Colorado,1180446,191702,08,2019,16.24
Delaware,86101,18541,10,2019,21.53
District of Columbia,72835,8776,11,2019,12.05
Connecticut,560489,123431,09,2019,22.02
Florida,5275080,935162,12,2019,17.73
Georgia,969358,222438,13,2019,22.95
Idaho,210454,43616,16,2019,20.72
Hawaii,143753,19605,15,2019,13.64
Illinois,2150592,345198,17,2019,16.05
Indiana,449576,100682,18,2019,22.39
Iowa,182696,37928,19,2019,20.76
Kansas,336751,64909,20,2019,19.28
Kentucky,156645,41964,21,2019,26.79
Louisiana,230616,54933,22,2019,23.82
Maine,20768,3870,23,2019,18.63
Maryland,593890,75291,24,2019,12.68
Massachusetts,783134,192189,25,2019,24.54
Michigan,494841,110005,26,2019,22.23
Minnesota,291997,54309,27,2019,18.6
Mississippi,85370,21250,28,2019,24.89
Missouri,247303,54628,29,2019,22.09
Montana,38840,6968,30,2019,17.94
Nebraska,202207,41069,31,2019,20.31
Nevada,841817,143547,32,2019,17.05
New Hampshire,47809,7849,33,2019,16.42
New Jersey,1767004,315902,34,2019,17.88
New Mexico,999910,225824,35,2019,22.58
New York,3635757,808858,36,2019,22.25
North Carolina,940295,248474,37,2019,26.43
North Dakota,27030,4781,38,2019,17.69
Ohio,430131,106311,39,2019,24.72
Oklahoma,405533,96092,40,2019,23.7
Oregon,526253,105720,41,2019,20.09
Pennsylvania,901112,253077,42,2019,28.08
Rhode Island,158626,40095,44,2019,25.28
South Carolina,275281,72123,45,2019,26.2
South Dakota,31391,6374,46,2019,20.31
Tennessee,356652,93353,47,2019,26.17
Texas,10919515,2262560,48,2019,20.72
Vermont,10688,1789,50,2019,16.74
Utah,427168,71929,49,2019,16.84
Virginia,768481,107325,51,2019,13.97
Washington,919516,169168,53,2019,18.4
West Virginia,26094,5616,54,2019,21.52
Wisconsin,384187,81792,55,2019,21.29
Wyoming,55662,10692,56,2019,19.21
Puerto Rico,3247614,1433527,72,2019,44.14
