NAME,total_population,below_poverty_level,state,year,poverty_rate
Mississippi,70914,19714,28,2011,27.8
Missouri,199949,50199,29,2011,25.11
Montana,26996,6708,30,2011,24.85
Nebraska,154497,37563,31,2011,24.31
Nevada,689331,136444,32,2011,19.79
New Hampshire,34822,6051,33,2011,17.38
New Jersey,1487862,268776,34,2011,18.06
New Mexico,915122,220754,35,2011,24.12
New York,3282749,818211,36,2011,24.92
North Carolina,747738,235175,37,2011,31.45
North Dakota,12443,2703,38,2011,21.72
Ohio,333626,95465,39,2011,28.61
Oklahoma,308731,87596,40,2011,28.37
Oregon,427756,113281,41,2011,26.48
Pennsylvania,662044,209169,42,2011,31.59
Rhode Island,123727,37085,44,2011,29.97
South Carolina,214207,63858,45,2011,29.81
South Dakota,20286,4632,46,2011,22.83
Tennessee,270686,87068,47,2011,32.17
Texas,9035286,2340708,48,2011,25.91
Vermont,8886,1618,50,2011,18.21
Utah,336479,75690,49,2011,22.49
Virginia,588949,87109,51,2011,14.79
Washington,710202,185613,53,2011,26.14
West Virginia,19725,4399,54,2011,22.3
Wisconsin,314991,75040,55,2011,23.82
Wyoming,45111,7396,56,2011,16.4
Puerto Rico,3657175,1658424,72,2011,45.35
Alabama,170351,53203,01,2011,31.23
Alaska,37976,3925,02,2011,10.34
Arizona,1817790,469009,04,2011,25.8
Arkansas,174123,53978,05,2011,31.0
California,13503094,2803788,06,2011,20.76
Colorado,985873,240274,08,2011,24.37
Delaware,68418,15645,10,2011,22.87
District of Columbia,51852,7268,11,2011,14.02
Connecticut,449691,110895,09,2011,24.66
Florida,4057788,790397,12,2011,19.48
Georgia,804180,240966,13,2011,29.96
Idaho,164689,45994,16,2011,27.93
Hawaii,114599,17869,15,2011,15.59
Illinois,1959070,376023,17,2011,19.19
Indiana,367774,100729,18,2011,27.39
Iowa,139236,35990,19,2011,25.85
Kansas,280455,68985,20,2011,24.6
Kentucky,119640,37685,21,2011,31.5
Louisiana,177171,35182,22,2011,19.86
Maine,16612,4774,23,2011,28.74
Maryland,442416,56112,24,2011,12.68
Massachusetts,587872,175533,25,2011,29.86
Michigan,420184,117043,26,2011,27.86
Minnesota,237023,58356,27,2011,24.62
