NAME,total_population,below_poverty_level,state,year,poverty_rate
Mississippi,81576,22032,28,2017,27.01
Missouri,237243,57361,29,2017,24.18
Montana,35166,7352,30,2017,20.91
Nebraska,193358,43933,31,2017,22.72
Nevada,803743,155693,32,2017,19.37
New Hampshire,43003,7894,33,2017,18.36
New Jersey,1737472,340748,34,2017,19.61
New Mexico,983700,244409,35,2017,24.85
Alabama,194090,62607,01,2017,32.26
Alaska,47893,5463,02,2017,11.41
Arizona,2050972,513987,04,2017,25.06
Arkansas,209473,61991,05,2017,29.59
California,14847071,3052999,06,2017,20.56
New York,3644173,889328,36,2017,24.4
North Carolina,894810,268985,37,2017,30.06
North Dakota,23533,4284,38,2017,18.2
Ohio,402299,105142,39,2017,26.14
Oklahoma,383402,95550,40,2017,24.92
Oregon,498708,119709,41,2017,24.0
Pennsylvania,841371,259020,42,2017,30.79
Rhode Island,149894,43392,44,2017,28.95
South Carolina,257204,73604,45,2017,28.62
South Dakota,28350,7025,46,2017,24.78
Tennessee,333765,101739,47,2017,30.48
Texas,10478511,2409759,48,2017,23.0
Vermont,10029,1493,50,2017,14.89
Utah,402071,82053,49,2017,20.41
Virginia,729278,109092,51,2017,14.96
Washington,865738,186188,53,2017,21.51
West Virginia,24518,5934,54,2017,24.2
Wisconsin,371053,92172,55,2017,24.84
Wyoming,55162,11641,56,2017,21.1
Puerto Rico,3401707,1530395,72,2017,44.99
Delaware,82790,20127,10,2017,24.31
District of Columbia,69138,9665,11,2017,13.98
Connecticut,537612,123584,09,2017,22.99
Florida,4944502,981013,12,2017,19.84
Georgia,927124,247605,13,2017,26.71
Idaho,197335,44855,16,2017,22.73
Hawaii,140348,19850,15,2017,14.14
Illinois,2126247,388434,17,2017,18.27
Indiana,430702,110455,18,2017,25.65
Iowa,172879,39197,19,2017,22.67
Kansas,326697,73190,20,2017,22.4
Kentucky,146146,43098,21,2017,29.49
Louisiana,223825,51617,22,2017,23.06
Maine,19290,3830,23,2017,19.85
Maryland,563165,77626,24,2017,13.78
Massachusetts,733885,202789,25,2017,27.63
Michigan,472362,113788,26,2017,24.09
Minnesota,277052,57875,27,2017,20.89
Colorado,1131146,218275,08,2017,19.3
