NAME,total_population,below_poverty_level,state,year,poverty_rate
Alabama,218981,60845,01,2021,27.79
Alaska,52128,5218,02,2021,10.01
Arizona,2209451,402027,04,2021,18.2
Arkansas,232000,50586,05,2021,21.8
California,15319764,2380287,06,2021,15.54
Colorado,1227327,175884,08,2021,14.33
Connecticut,595978,127775,09,2021,21.44
Delaware,93112,16911,10,2021,18.16
District of Columbia,73323,8495,11,2021,11.59
Florida,5524398,880620,12,2021,15.94
Georgia,1024826,205514,13,2021,20.05
Hawaii,152937,18730,15,2021,12.25
Idaho,230300,38337,16,2021,16.65
Illinois,2215044,313615,17,2021,14.16
Indiana,482256,93462,18,2021,19.38
Iowa,198024,35442,19,2021,17.9
Kansas,353974,65210,20,2021,18.42
Kentucky,167940,39658,21,2021,23.61
Louisiana,238736,56008,22,2021,23.46
Maine,23074,3368,23,2021,14.6
Maryland,638068,79578,24,2021,12.47
Massachusetts,839818,189115,25,2021,22.52
Michigan,527961,101706,26,2021,19.26
Minnesota,312432,51179,27,2021,16.38
Mississippi,90674,22734,28,2021,25.07
Missouri,263469,48173,29,2021,18.28
Montana,42352,6879,30,2021,16.24
Nebraska,218697,39414,31,2021,18.02
Nevada,886103,142259,32,2021,16.05
New Hampshire,53224,8044,33,2021,15.11
New Jersey,1894935,322473,34,2021,17.02
New Mexico,1025895,214875,35,2021,20.95
New York,3787607,766737,36,2021,20.24
North Carolina,991728,231783,37,2021,23.37
North Dakota,30498,5547,38,2021,18.19
Ohio,466692,107719,39,2021,23.08
Oklahoma,432636,95614,40,2021,22.1
Oregon,559233,89722,41,2021,16.04
Pennsylvania,990818,250208,42,2021,25.25
Rhode Island,173832,40233,44,2021,23.14
South Carolina,296380,68654,45,2021,23.16
South Dakota,35902,7084,46,2021,19.73
Tennessee,386626,89799,47,2021,23.23
Texas,11291275,2177111,48,2021,19.28
Utah,456749,62762,49,2021,13.74
Vermont,11993,1745,50,2021,14.55
Virginia,815809,105424,51,2021,12.92
Washington,987113,162935,53,2021,16.51
West Virginia,28222,5683,54,2021,20.14
Wisconsin,413927,77025,55,2021,18.61
Wyoming,57649,10114,56,2021,17.54
Puerto Rico,3242517,1387298,72,2021,42.78
