NAME,total_population,below_poverty_level,state,year,poverty_rate
Alabama,178290,58687,01,2012,32.92
Alaska,38878,3916,02,2012,10.07
Arizona,1854109,502408,04,2012,27.1
Arkansas,181278,57750,05,2012,31.86
California,13772548,3023847,06,2012,21.96
Colorado,1013864,245552,08,2012,24.22
Delaware,71589,16260,10,2012,22.71
District of Columbia,54709,9331,11,2012,17.06
Connecticut,466264,119608,09,2012,25.65
Florida,4183337,862584,12,2012,20.62
Georgia,833400,260736,13,2012,31.29
Idaho,171044,49388,16,2012,28.87
Hawaii,117782,20047,15,2012,17.02
Illinois,1998323,402065,17,2012,20.12
Indiana,379321,107473,18,2012,28.33
Iowa,146104,38797,19,2012,26.55
Kansas,291280,73147,20,2012,25.11
Kentucky,126107,40548,21,2012,32.15
Louisiana,185770,38826,22,2012,20.9
Maine,16374,4989,23,2012,30.47
Maryland,462857,60997,24,2012,13.18
Massachusetts,610339,183314,25,2012,30.03
Michigan,426682,121029,26,2012,28.37
Minnesota,244056,60938,27,2012,24.97
Mississippi,73134,22065,28,2012,30.17
Missouri,205282,54746,29,2012,26.67
Montana,27709,7465,30,2012,26.94
Nebraska,162521,41223,31,2012,25.36
Nevada,708679,155539,32,2012,21.95
New Hampshire,35712,6919,33,2012,19.37
New Jersey,1533819,289104,34,2012,18.85
New Mexico,933709,228375,35,2012,24.46
New York,3352634,849598,36,2012,25.34
North Carolina,779763,259959,37,2012,33.34
North Dakota,13350,2912,38,2012,21.81
Ohio,343408,100772,39,2012,29.34
Oklahoma,321532,91308,40,2012,28.4
Oregon,440632,119949,41,2012,27.22
Pennsylvania,693795,222233,42,2012,32.03
Rhode Island,127483,39629,44,2012,31.09
South Carolina,223836,69585,45,2012,31.09
South Dakota,21458,5125,46,2012,23.88
Tennessee,282105,92098,47,2012,32.65
Texas,9295345,2425748,48,2012,26.1
Vermont,8666,1220,50,2012,14.08
Utah,350341,86179,49,2012,24.6
Virginia,613911,94533,51,2012,15.4
Washington,738683,196275,53,2012,26.57
West Virginia,19794,4589,54,2012,23.18
Wisconsin,325846,82930,55,2012,25.45
Wyoming,49117,8270,56,2012,16.84
Puerto Rico,3639638,1642326,72,2012,45.12
