NAME,total_population,below_poverty_level,state,year,poverty_rate
Pennsylvania,938779,249217,42,2020,26.55
California,15111394,2454410,06,2020,16.24
West Virginia,26647,5024,54,2020,18.85
Utah,437136,65561,49,2020,15.0
New York,3635885,759828,36,2020,20.9
District of Columbia,74502,9003,11,2020,12.08
Alaska,51413,5307,02,2020,10.32
Florida,5397545,887135,12,2020,16.44
South Carolina,287186,69992,45,2020,24.37
North Dakota,28902,5362,38,2020,18.55
Maine,21832,3688,23,2020,16.89
Georgia,989675,207705,13,2020,20.99
Alabama,207640,60717,01,2020,29.24
New Hampshire,50039,7429,33,2020,14.85
Oregon,541178,96265,41,2020,17.79
Wyoming,57154,10389,56,2020,18.18
Arizona,2205467,424521,04,2020,19.25
Louisiana,233665,54826,22,2020,23.46
Indiana,463099,93556,18,2020,20.2
Idaho,218345,41385,16,2020,18.95
Connecticut,572955,120421,09,2020,21.02
Hawaii,147443,17859,15,2020,12.11
Illinois,2154084,313448,17,2020,14.55
Massachusetts,802795,184331,25,2020,22.96
Texas,11095497,2191157,48,2020,19.75
Montana,40062,7000,30,2020,17.47
Nebraska,209039,38372,31,2020,18.36
Ohio,446298,106657,39,2020,23.9
Colorado,1203064,178418,08,2020,14.83
New Jersey,1787097,302326,34,2020,16.92
Maryland,607359,72737,24,2020,11.98
Virginia,786973,103528,51,2020,13.16
Vermont,11104,1785,50,2020,16.08
North Carolina,966330,230691,37,2020,23.87
Arkansas,225401,50515,05,2020,22.41
Washington,951688,161119,53,2020,16.93
Kansas,343195,62289,20,2020,18.15
Oklahoma,418919,92338,40,2020,22.04
Wisconsin,397878,77861,55,2020,19.57
Mississippi,89176,22389,28,2020,25.11
Missouri,254826,49972,29,2020,19.61
Michigan,509094,105440,26,2020,20.71
Rhode Island,163259,37708,44,2020,23.1
Minnesota,300403,52427,27,2020,17.45
Iowa,188718,36414,19,2020,19.3
New Mexico,1010892,218918,35,2020,21.66
Nevada,864491,141948,32,2020,16.42
Delaware,89084,16413,10,2020,18.42
Puerto Rico,3185007,1386150,72,2020,43.52
Kentucky,161726,39467,21,2020,24.4
South Dakota,34326,6843,46,2020,19.94
Tennessee,369225,90542,47,2020,24.52
