NAME,total_population,below_poverty_level,state,year,poverty_rate
Alabama,187691,63543,01,2014,33.86
Alaska,43501,4175,02,2014,9.6
Arizona,1924763,541438,04,2014,28.13
Arkansas,194190,61400,05,2014,31.62
California,14280054,3300566,06,2014,23.11
Colorado,1061240,249121,08,2014,23.47
Delaware,76726,18411,10,2014,24.0
District of Columbia,60874,10402,11,2014,17.09
Connecticut,498268,127399,09,2014,25.57
Florida,4451167,971507,12,2014,21.83
Georgia,874167,272703,13,2014,31.2
Idaho,181828,49646,16,2014,27.3
Hawaii,128178,21741,15,2014,16.96
Illinois,2064281,429457,17,2014,20.8
Indiana,401024,118456,18,2014,29.54
Iowa,157995,40295,19,2014,25.5
Kansas,308597,80240,20,2014,26.0
Kentucky,134663,43587,21,2014,32.37
Louisiana,203451,45598,22,2014,22.41
Maine,17500,5002,23,2014,28.58
Maryland,505734,71160,24,2014,14.07
Massachusetts,659538,198987,25,2014,30.17
Michigan,445797,125377,26,2014,28.12
Minnesota,257536,62901,27,2014,24.42
Mississippi,76958,24696,28,2014,32.09
Missouri,219068,58056,29,2014,26.5
Montana,30700,8169,30,2014,26.61
Nebraska,175830,46116,31,2014,26.23
Nevada,742583,167508,32,2014,22.56
New Hampshire,38907,7667,33,2014,19.71
New Jersey,1625011,332302,34,2014,20.45
New Mexico,957924,247187,35,2014,25.8
New York,3484189,901347,36,2014,25.87
North Carolina,831856,277906,37,2014,33.41
North Dakota,17327,4147,38,2014,23.93
Ohio,367447,106717,39,2014,29.04
Oklahoma,348109,97348,40,2014,27.96
Oregon,463483,131827,41,2014,28.44
Pennsylvania,754242,246412,42,2014,32.67
Rhode Island,136330,45887,44,2014,33.66
South Carolina,239115,74101,45,2014,30.99
South Dakota,25115,6441,46,2014,25.65
Tennessee,303904,103210,47,2014,33.96
Texas,9771713,2549728,48,2014,26.09
Vermont,9339,1434,50,2014,15.35
Utah,371621,98259,49,2014,26.44
Virginia,670202,105665,51,2014,15.77
Washington,793799,211780,53,2014,26.68
West Virginia,21474,5192,54,2014,24.18
Wisconsin,345246,96952,55,2014,28.08
Wyoming,52633,11393,56,2014,21.65
Puerto Rico,3568368,1617379,72,2014,45.33
