NAME,total_population,below_poverty_level,state,year,poverty_rate
Alabama,225910,60468,01,2022,26.77
Alaska,53437,5626,02,2022,10.53
Arizona,2251078,392296,04,2022,17.43
Arkansas,238706,49925,05,2022,20.91
California,15361747,2314439,06,2022,15.07
Colorado,1247221,174061,08,2022,13.96
Connecticut,612331,126351,09,2022,20.63
Delaware,96724,17789,10,2022,18.39
District of Columbia,75004,9600,11,2022,12.8
Florida,5661299,874842,12,2022,15.45
Georgia,1055931,199706,13,2022,18.91
Hawaii,153032,18484,15,2022,12.08
Idaho,236148,37056,16,2022,15.69
Illinois,2242337,311350,17,2022,13.89
Indiana,500047,91459,18,2022,18.29
Iowa,203314,35429,19,2022,17.43
Kansas,361280,66495,20,2022,18.41
Kentucky,174025,39936,21,2022,22.95
Louisiana,245931,55829,22,2022,22.7
Maine,24296,3258,23,2022,13.41
Maryland,661777,80984,24,2022,12.24
Massachusetts,856750,182449,25,2022,21.3
Michigan,538137,102360,26,2022,19.02
Minnesota,320587,50930,27,2022,15.89
Mississippi,92681,22659,28,2022,24.45
Missouri,271943,50732,29,2022,18.66
Montana,44608,7594,30,2022,17.02
Nebraska,225029,38487,31,2022,17.1
Nevada,907354,140467,32,2022,15.48
New Hampshire,56266,8545,33,2022,15.19
New Jersey,1934026,318420,34,2022,16.46
New Mexico,1032202,214720,35,2022,20.8
New York,3816356,767815,36,2022,20.12
North Carolina,1024469,225906,37,2022,22.05
North Dakota,31962,5888,38,2022,18.42
Ohio,481547,108232,39,2022,22.48
Oklahoma,446724,97203,40,2022,21.76
Oregon,571809,87294,41,2022,15.27
Pennsylvania,1023951,251135,42,2022,24.53
Rhode Island,178759,40390,44,2022,22.59
South Carolina,309391,67306,45,2022,21.75
South Dakota,37563,8095,46,2022,21.55
Tennessee,403862,89153,47,2022,22.08
Texas,11472875,2172978,48,2022,18.94
Utah,472441,60148,49,2022,12.73
Vermont,12570,1956,50,2022,15.56
Virginia,841818,110703,51,2022,13.15
Washington,1016427,159170,53,2022,15.66
West Virginia,30597,6091,54,2022,19.91
Wisconsin,420940,75999,55,2022,18.05
Wyoming,59090,9332,56,2022,15.79
Puerto Rico,3202286,1355189,72,2022,42.32
