NAME,total_population,below_poverty_level,state,year,poverty_rate
Mississippi,78620,25202,28,2015,32.06
Missouri,225638,61123,29,2015,27.09
Montana,32388,8036,30,2015,24.81
Nebraska,181471,46679,31,2015,25.72
Nevada,760705,168033,32,2015,22.09
New Hampshire,40493,8306,33,2015,20.51
New Jersey,1662583,339535,34,2015,20.42
New Mexico,966710,248513,35,2015,25.71
New York,3541633,917179,36,2015,25.9
North Carolina,853155,283395,37,2015,33.22
North Dakota,19399,4012,38,2015,20.68
Ohio,378848,106544,39,2015,28.12
Oklahoma,361389,97129,40,2015,26.88
Oregon,475620,131874,41,2015,27.73
Pennsylvania,783216,251215,42,2015,32.07
Rhode Island,140287,46678,44,2015,33.27
South Carolina,244200,74329,45,2015,30.44
South Dakota,26486,6869,46,2015,25.93
Tennessee,314094,103920,47,2015,33.09
Texas,10005754,2524283,48,2015,25.23
Vermont,9602,1441,50,2015,15.01
Utah,382306,94698,49,2015,24.77
Virginia,690170,107942,51,2015,15.64
Washington,819130,203237,53,2015,24.81
West Virginia,22678,5543,54,2015,24.44
Wisconsin,355022,96335,55,2015,27.13
Wyoming,54188,11386,56,2015,21.01
Puerto Rico,3514818,1602862,72,2015,45.6
Alabama,189334,63643,01,2015,33.61
Alaska,45979,4685,02,2015,10.19
Arizona,1963396,550792,04,2015,28.05
Arkansas,199360,64175,05,2015,32.19
California,14494492,3294059,06,2015,22.73
Colorado,1086819,242079,08,2015,22.27
Delaware,79047,19972,10,2015,25.27
District of Columbia,63756,10184,11,2015,15.97
Connecticut,512196,131468,09,2015,25.67
Florida,4592774,991264,12,2015,21.58
Georgia,891906,271129,13,2015,30.4
Idaho,186402,48236,16,2015,25.88
Hawaii,134105,22319,15,2015,16.64
Illinois,2090162,429853,17,2015,20.57
Indiana,411084,120401,18,2015,29.29
Iowa,163259,40702,19,2015,24.93
Kansas,315624,79775,20,2015,25.28
Kentucky,138129,43982,21,2015,31.84
Louisiana,210626,48838,22,2015,23.19
Maine,18428,4776,23,2015,25.92
Maryland,523683,73860,24,2015,14.1
Massachusetts,683895,200393,25,2015,29.3
Michigan,455816,123640,26,2015,27.12
Minnesota,263822,61956,27,2015,23.48
