NAME,total_population,below_poverty_level,state,year,poverty_rate
Alabama,184355,60014,01,2013,32.55
Alaska,41184,4321,02,2013,10.49
Arizona,1885193,526454,04,2013,27.93
Arkansas,188291,61808,05,2013,32.83
California,14016628,3180437,06,2013,22.69
Colorado,1037159,251799,08,2013,24.28
Delaware,74220,17635,10,2013,23.76
District of Columbia,57937,9390,11,2013,16.21
Connecticut,482531,123351,09,2013,25.56
Florida,4304700,918939,12,2013,21.35
Georgia,853700,274593,13,2013,32.17
Idaho,176497,50032,16,2013,28.35
Hawaii,123316,21253,15,2013,17.23
Illinois,2030273,419350,17,2013,20.65
Indiana,390711,116047,18,2013,29.7
Iowa,152684,39693,19,2013,26.0
Kansas,300744,78946,20,2013,26.25
Kentucky,131162,42137,21,2013,32.13
Louisiana,194767,41585,22,2013,21.35
Maine,16910,5048,23,2013,29.85
Maryland,483794,66547,24,2013,13.76
Massachusetts,634886,192391,25,2013,30.3
Michigan,436325,126507,26,2013,28.99
Minnesota,250619,62456,27,2013,24.92
Mississippi,75532,24419,28,2013,32.33
Missouri,212600,57625,29,2013,27.1
Montana,29182,7911,30,2013,27.11
Nebraska,169453,44746,31,2013,26.41
Nevada,724318,163024,32,2013,22.51
New Hampshire,37212,7430,33,2013,19.97
New Jersey,1579127,313412,34,2013,19.85
New Mexico,946047,241002,35,2013,25.47
New York,3413914,882679,36,2013,25.86
North Carolina,807712,274977,37,2013,34.04
North Dakota,15195,3405,38,2013,22.41
Ohio,355321,105186,39,2013,29.6
Oklahoma,335307,95326,40,2013,28.43
Oregon,452322,126183,41,2013,27.9
Pennsylvania,724444,234066,42,2013,32.31
Rhode Island,131664,43115,44,2013,32.75
South Carolina,232347,73276,45,2013,31.54
South Dakota,23284,6073,46,2013,26.08
Tennessee,294121,98629,47,2013,33.53
Texas,9529883,2505875,48,2013,26.29
Vermont,9054,1383,50,2013,15.28
Utah,360847,93436,49,2013,25.89
Virginia,641992,99542,51,2013,15.51
Washington,767112,207765,53,2013,27.08
West Virginia,20717,4692,54,2013,22.65
Wisconsin,336476,91814,55,2013,27.29
Wyoming,51116,10142,56,2013,19.84
Puerto Rico,3608838,1628863,72,2013,45.14
