NAME,total_population,below_poverty_level,state,year,poverty_rate
Alabama,159598,48615,01,2010,30.46
Alaska,37415,4331,02,2010,11.58
Arizona,1770090,432515,04,2010,24.43
Arkansas,164341,50207,05,2010,30.55
California,13209479,2634845,06,2010,19.95
Colorado,957448,232766,08,2010,24.31
Connecticut,432941,105784,09,2010,24.43
Delaware,65147,15132,10,2010,23.23
District of Columbia,49826,6894,11,2010,13.84
Florida,3933726,718390,12,2010,18.26
Georgia,767336,215481,13,2010,28.08
Hawaii,110745,15147,15,2010,13.68
Idaho,157629,41240,16,2010,26.16
Illinois,1910560,346829,17,2010,18.15
Indiana,352651,89444,18,2010,25.36
Iowa,132374,32355,19,2010,24.44
Kansas,269055,64799,20,2010,24.08
Kentucky,113454,35163,21,2010,30.99
Louisiana,167045,32326,22,2010,19.35
Maine,16138,4113,23,2010,25.49
Maryland,421981,51358,24,2010,12.17
Massachusetts,566574,167678,25,2010,29.6
Michigan,411597,108885,26,2010,26.45
Minnesota,227765,54533,27,2010,23.94
Mississippi,66179,16865,28,2010,25.48
Missouri,192395,46797,29,2010,24.32
Montana,26018,6905,30,2010,26.54
Nebraska,147363,33831,31,2010,22.96
Nevada,665278,121363,32,2010,18.24
New Hampshire,33730,5331,33,2010,15.8
New Jersey,1442810,254084,34,2010,17.61
New Mexico,894378,206570,35,2010,23.1
New York,3215869,787023,36,2010,24.47
North Carolina,707269,210957,37,2010,29.83
North Dakota,12270,2704,38,2010,22.04
Ohio,322245,86332,39,2010,26.79
Oklahoma,292986,82726,40,2010,28.24
Oregon,410795,105213,41,2010,25.61
Pennsylvania,630591,195186,42,2010,30.95
Rhode Island,120841,34292,44,2010,28.38
South Carolina,200550,55579,45,2010,27.71
South Dakota,19436,4334,46,2010,22.3
Tennessee,255253,79146,47,2010,31.01
Texas,8741222,2225072,48,2010,25.45
Utah,319873,68559,49,2010,21.43
Vermont,8532,1638,50,2010,19.2
Virginia,559348,78000,51,2010,13.94
Washington,676790,169809,53,2010,25.09
West Virginia,19198,4445,54,2010,23.15
Wisconsin,301799,72499,55,2010,24.02
Wyoming,44549,6900,56,2010,15.49
Puerto Rico,3670301,1662790,72,2010,45.3
