NAME,B03001_005E,state,county,year
"McPherson County, Nebraska",0,31,117,2014
"Cheyenne County, Nebraska",10,31,033,2014
"Dawson County, Nebraska",110,31,047,2014
"Garfield County, Nebraska",0,31,071,2014
"Nance County, Nebraska",0,31,125,2014
"Stanton County, Nebraska",0,31,167,2014
"Valley County, Nebraska",0,31,175,2014
"Churchill County, Nevada",90,32,001,2014
"Douglas County, Nevada",447,32,005,2014
"Pershing County, Nevada",38,32,027,2014
"Eureka County, Nevada",1,32,011,2014
"Humboldt County, Nevada",70,32,013,2014
"White Pine County, Nevada",39,32,033,2014
"Elko County, Nevada",170,32,007,2014
"Nye County, Nevada",130,32,023,2014
"Storey County, Nevada",0,32,029,2014
"Clark County, Nevada",20403,32,003,2014
"Lyon County, Nevada",301,32,019,2014
"Cheshire County, New Hampshire",461,33,005,2014
"Grafton County, New Hampshire",557,33,009,2014
"Rockingham County, New Hampshire",1565,33,015,2014
"Sullivan County, New Hampshire",110,33,019,2014
"Hillsborough County, New Hampshire",6685,33,011,2014
"Coos County, New Hampshire",84,33,007,2014
"Carroll County, New Hampshire",105,33,003,2014
"Mercer County, New Jersey",17591,34,021,2014
"Cumberland County, New Jersey",24224,34,011,2014
"Somerset County, New Jersey",8161,34,035,2014
"Clay County, Nebraska",14,31,035,2014
"Custer County, Nebraska",20,31,041,2014
"Franklin County, Nebraska",1,31,061,2014
"Hamilton County, Nebraska",0,31,081,2014
"Jefferson County, Nebraska",7,31,095,2014
"Keith County, Nebraska",5,31,101,2014
"Loup County, Nebraska",0,31,115,2014
"Perkins County, Nebraska",0,31,135,2014
"Saunders County, Nebraska",8,31,155,2014
"Scotts Bluff County, Nebraska",128,31,157,2014
"Keya Paha County, Nebraska",0,31,103,2014
"Kimball County, Nebraska",69,31,105,2014
"Lincoln County, Nebraska",0,31,111,2014
"Pierce County, Nebraska",1,31,139,2014
"Sioux County, Nebraska",3,31,165,2014
"Burt County, Nebraska",0,31,021,2014
"Cass County, Nebraska",85,31,025,2014
"Cuming County, Nebraska",24,31,039,2014
"Dixon County, Nebraska",28,31,051,2014
"Dundy County, Nebraska",0,31,057,2014
"Grant County, Nebraska",0,31,075,2014
"Greeley County, Nebraska",1,31,077,2014
"Hall County, Nebraska",63,31,079,2014
"Hayes County, Nebraska",0,31,085,2014
"Otoe County, Nebraska",0,31,131,2014
"Red Willow County, Nebraska",0,31,145,2014
"Cedar County, Nebraska",5,31,027,2014
"Dawes County, Nebraska",91,31,045,2014
"Johnson County, Nebraska",18,31,097,2014
"Hughes County, South Dakota",39,46,065,2014
"Clay County, South Dakota",14,46,027,2014
"Day County, South Dakota",0,46,037,2014
"Douglas County, South Dakota",0,46,043,2014
"McPherson County, South Dakota",0,46,089,2014
"Sanborn County, South Dakota",0,46,111,2014
"Sully County, South Dakota",0,46,119,2014
"Hand County, South Dakota",2,46,059,2014
"Lake County, South Dakota",9,46,079,2014
"Yankton County, South Dakota",54,46,135,2014
"Codington County, South Dakota",30,46,029,2014
"Butte County, South Dakota",0,46,019,2014
"Corson County, South Dakota",0,46,031,2014
"Edmunds County, South Dakota",0,46,045,2014
"Campbell County, South Dakota",0,46,021,2014
"Bennett County, South Dakota",0,46,007,2014
"Stanley County, South Dakota",0,46,117,2014
"Jones County, South Dakota",0,46,075,2014
"Potter County, South Dakota",0,46,107,2014
"Turner County, South Dakota",18,46,125,2014
"Charles Mix County, South Dakota",0,46,023,2014
"Hanson County, South Dakota",0,46,061,2014
"Marshall County, South Dakota",86,46,091,2014
"Mellette County, South Dakota",0,46,095,2014
"Perkins County, South Dakota",0,46,105,2014
"Pennington County, South Dakota",409,46,103,2014
"Union County, South Dakota",7,46,127,2014
"Coffee County, Tennessee",78,47,031,2014
"Fayette County, Tennessee",46,47,047,2014
"Hancock County, Tennessee",0,47,067,2014
"Hawkins County, Tennessee",113,47,073,2014
"Johnson County, Tennessee",14,47,091,2014
"Lincoln County, Tennessee",92,47,103,2014
"Ocean County, New Jersey",16700,34,029,2014
"Macon County, Tennessee",50,47,111,2014
"Moore County, Tennessee",0,47,127,2014
