NAME,B03001_005E,state,county,year
"Warren County, Tennessee",58,47,177,2017
"Washington County, Tennessee",442,47,179,2017
"Weakley County, Tennessee",48,47,183,2017
"Benton County, Tennessee",53,47,005,2017
"Bledsoe County, Tennessee",0,47,007,2017
"Campbell County, Tennessee",16,47,013,2017
"Cannon County, Tennessee",17,47,015,2017
"Houston County, Tennessee",18,47,083,2017
"Maury County, Tennessee",288,47,119,2017
"Polk County, Texas",40,48,373,2017
"Refugio County, Texas",43,48,391,2017
"Van Zandt County, Texas",2,48,467,2017
"Caldwell County, Texas",344,48,055,2017
"Wilbarger County, Texas",5,48,487,2017
"Martin County, Texas",30,48,317,2017
"Reagan County, Texas",0,48,383,2017
"Yoakum County, Texas",62,48,501,2017
"Hale County, Texas",10,48,189,2017
"Shelby County, Texas",55,48,419,2017
"Red River County, Texas",0,48,387,2017
"Runnels County, Texas",72,48,399,2017
"San Jacinto County, Texas",153,48,407,2017
"Sutton County, Texas",0,48,435,2017
"Tom Green County, Texas",677,48,451,2017
"Upshur County, Texas",0,48,459,2017
"Victoria County, Texas",204,48,469,2017
"Waller County, Texas",52,48,473,2017
"Wharton County, Texas",75,48,481,2017
"Wichita County, Texas",659,48,485,2017
"Wilson County, Texas",412,48,493,2017
"Borden County, Texas",0,48,033,2017
"Hockley County, Texas",94,48,219,2017
"Marion County, Texas",0,48,315,2017
"Maverick County, Texas",335,48,323,2017
"Midland County, Texas",807,48,329,2017
"Grayson County, Texas",226,48,181,2017
"Live Oak County, Texas",20,48,297,2017
"Llano County, Texas",4,48,299,2017
"Palo Pinto County, Texas",16,48,363,2017
"Fannin County, Texas",36,48,147,2017
"Karnes County, Texas",12,48,255,2017
"DeWitt County, Texas",67,48,123,2017
"Brazos County, Texas",575,48,041,2017
"Callahan County, Texas",38,48,059,2017
"Cass County, Texas",48,48,067,2017
"Gaines County, Texas",32,48,165,2017
"Gregg County, Texas",232,48,183,2017
"Gray County, Texas",76,48,179,2017
"Madison County, Texas",10,48,313,2017
"Lubbock County, Texas",747,48,303,2017
"Jack County, Texas",40,48,237,2017
"Kaufman County, Texas",553,48,257,2017
"Kendall County, Texas",268,48,259,2017
"Bosque County, Texas",21,48,035,2017
"Floyd County, Texas",18,48,153,2017
"Bexar County, Texas",24322,48,029,2017
"Bailey County, Texas",0,48,017,2017
"Chambers County, Texas",9,48,071,2017
"Baylor County, Texas",0,48,023,2017
"Bell County, Texas",14068,48,027,2017
"Cameron County, Texas",897,48,061,2017
"Denton County, Texas",5824,48,121,2017
"Deaf Smith County, Texas",158,48,117,2017
"Galveston County, Texas",3670,48,167,2017
"El Paso County, Texas",8841,48,141,2017
"La Salle County, Texas",0,48,283,2017
"Roberts County, Texas",0,48,393,2017
"Terrell County, Texas",22,48,443,2017
"Tyler County, Texas",34,48,457,2017
"Uvalde County, Texas",303,48,463,2017
"Wheeler County, Texas",0,48,483,2017
"Bowie County, Texas",124,48,037,2017
"Archer County, Texas",23,48,009,2017
"Brewster County, Texas",27,48,043,2017
"Kent County, Texas",0,48,263,2017
"Hidalgo County, Texas",2642,48,215,2017
"Smith County, Texas",800,48,423,2017
"Somervell County, Texas",16,48,425,2017
"Crockett County, Texas",0,48,105,2017
"Hardin County, Texas",154,48,199,2017
"Haskell County, Texas",0,48,207,2017
"Howard County, Texas",86,48,227,2017
"Leon County, Texas",77,48,289,2017
"Mills County, Texas",13,48,333,2017
"Montague County, Texas",17,48,337,2017
"Newton County, Texas",0,48,351,2017
"Panola County, Texas",6,48,365,2017
"Reeves County, Texas",67,48,389,2017
"Sabine County, Texas",5,48,403,2017
"Sherman County, Texas",16,48,421,2017
"Monroe County, Alabama",90,01,099,2017
"Lawrence County, Alabama",13,01,079,2017
"Lee County, Alabama",1025,01,081,2017
"Marion County, Alabama",145,01,093,2017
"Pickens County, Alabama",36,01,107,2017
"Sumter County, Alabama",0,01,119,2017
"Jefferson County, Alabama",1999,01,073,2017
"Choctaw County, Alabama",40,01,023,2017
"Franklin County, Alabama",28,01,059,2017
"Marengo County, Alabama",0,01,091,2017
"Russell County, Alabama",817,01,113,2017
"Cherokee County, Alabama",0,01,019,2017
"Covington County, Alabama",40,01,039,2017
"Crenshaw County, Alabama",56,01,041,2017
